,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
554,Нива ГЭС-1, Гидроэлектростанция ,26.0, 129 млн. кВт*ч, Полярные Зори, Широта: 67.381222 Долгота: 32.527306,,,," Мурманская обл., г. Кандалакша, ул. Чкалова, 42/18",,,22.35597,
555,Кондопожская ГЭС, Гидроэлектростанция ,25.6, 123 млн. кВт*ч, Кондопога, Широта: 62.194833 Долгота: 34.261750,,,," Республика Карелия, Кондопога, ул. Приканальная",,,22.012032,
556,Соль-Илецкая СЭС, Солнечная электростанция ,25.0,, Соль-Илецк, Широта: 51.071066 Долгота: 55.006485,,,,,,,21.496125,
557,Воркутинская ТЭЦ-1, Теплоэлектроцентраль ,25.0, 127.80 млн. кВт*ч, Воркута, Широта: 67.500000 Долгота: 64.018056,586.0, 1 181.27 тыс. Гкал,,,,,21.496125,23.44
558,Орская СЭС им. А.А.Влазнева (Сакмарская), Солнечная электростанция ,25.0,, Орск, Широта: 51.266023 Долгота: 58.474689,,,,,,,21.496125,
559,Пальеозерская ГЭС, Гидроэлектростанция ,25.0, 114 млн. кВт*ч, Кондопога, Широта: 62.484083 Долгота: 33.673694,,,," Республика Карелия, Кондопога, ул. Приканальная",,,21.496125,
560,Останинская ВЭС, Ветряная электростанция ,25.0,, Керчь, Широта: 45.350245 Долгота: 35.996361,,,,,,,21.496125,
561,ТЭЦ-28, Теплоэлектроцентраль ,25.0, 113.24 млн. кВт*ч, Москва, Широта: 55.891667 Долгота: 37.506111,40.0,,,,,,21.496125,1.6
562,Белопорожская ГЭС-2, Гидроэлектростанция ,24.9,, Кемь, Широта: 65.050778 Долгота: 33.005676,,,,,,,21.410140499999997,
563,Белопорожская ГЭС-1, Гидроэлектростанция ,24.9,, Кемь, Широта: 65.050995 Долгота: 33.008938,,,,,,,21.410140499999997,
564,ГЭС-2 Каскада ГЭС на реке Толмачёва, Гидроэлектростанция ,24.8,, Петропавловск-Камчатский, Широта: 52.601944 Долгота: 157.503056,,,,,,,21.324156,
565,Толмачевская ГЭС-2, Гидроэлектростанция ,24.8, 87.60 млн. кВт*ч, Петропавловск-Камчатский, Широта: 52.605367 Долгота: 157.495794,,,,,,,21.324156,
566,Гайская ТЭЦ, Теплоэлектроцентраль ,24.0,, Гай, Широта: 51.482105 Долгота: 58.458896,,,,,,,20.63628,
567,Канская ТЭЦ, Теплоэлектроцентраль ,24.0, 81.35 млн. кВт*ч, Канск, Широта: 56.229194 Долгота: 95.696083,325.0,,,,,,20.63628,13.541666666666666
568,"ТЭЦ ОАО ""АНПЗ ВНК""", Теплоэлектроцентраль ,24.0,, Ачинск, указать местонахождение электростанции,,,,,,,20.63628,
569,Приаргунская ТЭЦ, Теплоэлектроцентраль ,24.0, 43.10 млн. кВт*ч, Приаргунск, Широта: 50.357209 Долгота: 119.095646,110.0, 131.50 тыс. Гкал,,,,,20.63628,4.583333333333333
570,Орехово-Зуевская ТЭЦ (ТЭЦ-6 Мосэнерго), Теплоэлектроцентраль ,24.0, 34.43 млн. кВт*ч, Москва, указать местонахождение электростанции,139.0,,,,,,20.63628,5.791666666666667
571,ГТЭС Игольско-Талового месторождения, Газотурбинная электростанция ,24.0, 172 млн. кВт*ч, Тара, Широта: 57.749092 Долгота: 76.434535,,,,,,,20.63628,
572,ГТЭС Двуреченского месторождения, Газотурбинная электростанция ,24.0,, Тара, Широта: 58.271263 Долгота: 75.749611,,,,,,,20.63628,
573,Наримановская ВЭС, Ветряная электростанция ,24.0,, Нариманов, указать местонахождение электростанции,,,,,,,20.63628,
574,Шингинская ГТЭС, Газотурбинная электростанция ,24.0,, Кедровый, Широта: 58.330314 Долгота: 78.487873,,,,,,,20.63628,
575,Синарская ТЭЦ, Теплоэлектроцентраль ,24.0,, Каменск-Уральский, Широта: 56.439580 Долгота: 61.916113,680.0,,," РФ, Свердловская область, г. Каменск-Уральский, ул. Заводской проезд д.1",,,20.63628,28.333333333333332
576,Кизеловская ГРЭС-3, Теплоэлектроцентраль ,23.6, 64.64 млн. кВт*ч, Губаха, Широта: 58.866389 Долгота: 57.555556,238.4,,,,,,20.292342,10.101694915254237
577,Энергоцентр Томилино, Газопоршневая электростанция ,23.5,, Томилино, Широта: 55.645691 Долгота: 37.924311,64.0,,,,,,20.2063575,2.723404255319149
578,Западная ТЭЦ, Газопоршневая электростанция ,23.23,, Курган, Широта: 55.427286 Долгота: 65.293025,48.45,,,,,,19.97419935,2.0856650882479553
579,Гизельдонская ГЭС, Гидроэлектростанция ,22.8,, Владикавказ, Широта: 42.902500 Долгота: 44.460100,,,,,,,19.604466,
580,ГТ КЭС, Газотурбинная электростанция ,22.5,, Калининград, указать местонахождение электростанции,,,,,,,19.3465125,
581,Саратовская ТЭЦ-1 [в составе Саратовская ГРЭС], Теплоэлектроцентраль ,22.0, 46.92 млн. кВт*ч, Саратов, Широта: 51.522278 Долгота: 46.033944,255.0,,,,,,18.91659,11.590909090909092
582,ГСР ТЭЦ, Теплоэлектроцентраль ,21.0,, Санкт-Петербург, Широта: 59.761431 Долгота: 30.575166,622.0,,," ул. Финляндская, 5Санкт-Петербург, Колпино,196651, Россия",,,18.056745,29.61904761904762
583,ТЭЦ Шарьинская, Теплоэлектроцентраль ,21.0, 31.35 млн. кВт*ч, Шарья, Широта: 58.397844 Долгота: 45.477347,388.0,,,,,,18.056745,18.476190476190474
584,Обнинская ГТУ-ТЭЦ №1, Газотурбинная электростанция ,20.8,, Обнинск, Широта: 55.137547 Долгота: 36.613258,49.88,,," 249040, г. Обнинск, ул. Студгородок, 1",,,17.884776,2.398076923076923
585,Светловская ГРЭС-2, Теплоэлектроцентраль ,20.8, 36.66 млн. кВт*ч, Светлый, Широта: 54.664421 Долгота: 20.124123,111.0,,,,,,17.884776,5.336538461538462
586,"ТЭС ГУБТ ДП-6 ОАО ""НЛМК""", Газотурбинная электростанция ,20.0,, Липецк, указать местонахождение электростанции,,,,,,,17.1969,
587,Майминская СЭС, Солнечная электростанция ,20.0,, Майма, Широта: 51.971293 Долгота: 85.857897,,,,,,,17.1969,
588,"ТЭС ГУБТ ДП-7 ОАО ""НЛМК""", Газотурбинная электростанция ,20.0,, Липецк, указать местонахождение электростанции,,,,,,,17.1969,
589,Толмачевская ГЭС-3, Гидроэлектростанция ,18.4, 65.40 млн. кВт*ч, Петропавловск-Камчатский, Широта: 52.628557 Долгота: 157.446774,,,,,,,15.821147999999999,
590,ГЭС-3 Каскада ГЭС на реке Толмачёва, Гидроэлектростанция ,18.4,, Петропавловск-Камчатский, Широта: 52.628056 Долгота: 157.446944,,,,,,,15.821147999999999,
591,ТЭЦ ВТИ, Тепловая электростанция ,18.0, 43.06 млн. кВт*ч, Москва, Широта: 55.705338 Долгота: 37.648800,,,,,,,15.47721,
592,ГТ ТЭЦ Режевская, Газотурбинная электростанция ,18.0,, Реж, Широта: 57.375639 Долгота: 61.431089,40.0,,," г. Реж, ул. Объездная, 11",,,15.47721,2.2222222222222223
593,Юшкозерская ГЭС, Гидроэлектростанция ,18.0, 79 млн. кВт*ч, Кондопога, Широта: 64.830000 Долгота: 32.008333,,,," Республика Карелия, Кемь, ул. Энергетиков, 15",,,15.47721,
594,Мурманская ВЭС, Ветряная электростанция ,18.0,, Мурманск, указать местонахождение электростанции,,,,,,,15.47721,
595,Каспийская ТЭЦ, Теплоэлектроцентраль ,18.0, 20.39 млн. кВт*ч, Каспийск, Широта: 42.884966 Долгота: 47.650334,205.0,,,,,,15.47721,11.38888888888889
596,Махачкалинская ТЭЦ, Теплоэлектроцентраль ,18.0, 67.99 млн. кВт*ч, Махачкала, Широта: 42.974590 Долгота: 47.530804,416.0,,,,,,15.47721,23.11111111111111
597,ГТ ТЭЦ Новочеркасская, Газотурбинная электростанция ,18.0,, Новочеркасск, Широта: 47.480346 Долгота: 40.098301,80.0,,," г. Новочеркасск, Харьковское шоссе, 21а",,,15.47721,4.444444444444445
598,ГТ ТЭЦ Касимовская, Газотурбинная электростанция ,18.0,, Касимов, Широта: 54.955830 Долгота: 41.408029,80.0,,," г. Касимов, ул. Индустриальная 3В",,,15.47721,4.444444444444445
599,ГТ ТЭЦ Сасовская, Газотурбинная электростанция ,18.0,, Сасово, Широта: 54.370174 Долгота: 41.941984,80.0,,," г. Сасово, Промышленный пр-д, д.5",,,15.47721,4.444444444444445
